Commit SHA,Java File,Old function signature,New function signature
ed7696b130a0b7b6fb63b4d37c4a873fa1f8f96f,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/OrderedScheduler.java,"OrderedScheduler(String, int, ThreadFactory, StatsLogger, boolean, long)","OrderedScheduler(String, int, ThreadFactory, StatsLogger, boolean, long, int)"
ed7696b130a0b7b6fb63b4d37c4a873fa1f8f96f,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieRequestProcessor.java,"createExecutor(int, String)","createExecutor(int, String, int)"
ed7696b130a0b7b6fb63b4d37c4a873fa1f8f96f,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,"OrderedSafeExecutor(String, int, ThreadFactory, StatsLogger, boolean, long)","OrderedSafeExecutor(String, int, ThreadFactory, StatsLogger, boolean, long, int)"
a9b64e61598a987ffa6249ab398215436a7928f2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,"LedgerMetadata(int, int, int, BookKeeper.DigestType, byte[], Map)","LedgerMetadata(int, int, int, BookKeeper.DigestType, byte[], Map, boolean)"
6fcabfc80c5bd6cdfa9252cdfc4ed209cc0620a6,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerFragment.java,"getAddress()","getAddress(int)"
6fcabfc80c5bd6cdfa9252cdfc4ed209cc0620a6,bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/ReplicationWorker.java,"waitBackOffTime()","waitBackOffTime(long)"
dfe465cdd0684bbb348d106b737acf431f29351a,src/main/java/org/apache/distributedlog/impl/metadata/ZKLogStreamMetadataStore.java,"createMissingMetadata(ZooKeeper, String, List, List, boolean, boolean, CompletableFuture)","createMissingMetadata(ZooKeeper, String, String, List, List, boolean, boolean, CompletableFuture)"
9f55ccc7d75a4beedb96aaaeb0a9ca1357977482,src/main/java/org/apache/distributedlog/impl/ZKLogMetadataStore.java,"getLogs()","getLogs(String)"
9f55ccc7d75a4beedb96aaaeb0a9ca1357977482,src/main/java/org/apache/distributedlog/impl/federated/FederatedZKLogMetadataStore.java,"getLogs()","getLogs(String)"
9f55ccc7d75a4beedb96aaaeb0a9ca1357977482,src/main/java/org/apache/distributedlog/metadata/LogMetadataStore.java,"getLogs()","getLogs(String)"
8e0bd2c3d81b522e97434d8646915f36422a104b,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,"create(BookieSocketAddress, PerChannelBookieClientPool)","create(BookieSocketAddress, PerChannelBookieClientPool, SecurityHandlerFactory)"
8e0bd2c3d81b522e97434d8646915f36422a104b,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieRequestProcessor.java,"BookieRequestProcessor(ServerConfiguration, Bookie, StatsLogger)","BookieRequestProcessor(ServerConfiguration, Bookie, StatsLogger, SecurityHandlerFactory)"
8e0bd2c3d81b522e97434d8646915f36422a104b,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DefaultPerChannelBookieClientPool.java,"DefaultPerChannelBookieClientPool(PerChannelBookieClientFactory, BookieSocketAddress, int)","DefaultPerChannelBookieClientPool(ClientConfiguration, PerChannelBookieClientFactory, BookieSocketAddress, int)"
8e0bd2c3d81b522e97434d8646915f36422a104b,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClientFactory.java,"create(BookieSocketAddress, PerChannelBookieClientPool)","create(BookieSocketAddress, PerChannelBookieClientPool, SecurityHandlerFactory)"
3daf94143ba2b1352a56c68e1b886d7d7cd499a5,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ZooKeeperUtil.java,"sleepServer(int, CountDownLatch)","sleepServer(int, TimeUnit, CountDownLatch)"
a5f8580f53464065243a9af038935f5893434166,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperDiskSpaceWeightedLedgerPlacementTest.java,"replaceBookieWithCustomFreeDiskSpaceBookie(int, long)","replaceBookieWithCustomFreeDiskSpaceBookie(BookKeeperCheckInfoReader, int, long)"
a5f8580f53464065243a9af038935f5893434166,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperDiskSpaceWeightedLedgerPlacementTest.java,"replaceBookieWithCustomFreeDiskSpaceBookie(int, long)","replaceBookieWithCustomFreeDiskSpaceBookie(BookKeeperCheckInfoReader, int, long, long, AtomicBoolean)"
a5f8580f53464065243a9af038935f5893434166,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperDiskSpaceWeightedLedgerPlacementTest.java,"replaceBookieWithCustomFreeDiskSpaceBookie(BookieServer, long)","replaceBookieWithCustomFreeDiskSpaceBookie(BookKeeperCheckInfoReader, BookieServer, long)"
671ec2b21d6e603f00abc8f92a04bbec7d5750b2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,"initializeZookeeper()","initializeZookeeper(String, int)"
