Commit SHA,Java File,Old function signature,New function signature
8c13cf704b551171d188c872d74189d90a9531b3,server/src/main/java/org/elasticsearch/repositories/blobstore/BlobStoreRepository.java,"writeIndexGen(RepositoryData, long)","writeIndexGen(RepositoryData, long, boolean)"
8c13cf704b551171d188c872d74189d90a9531b3,server/src/main/java/org/elasticsearch/repositories/blobstore/BlobStoreRepository.java,"cleanup(long, ActionListener)","cleanup(long, boolean, ActionListener)"
8c13cf704b551171d188c872d74189d90a9531b3,server/src/main/java/org/elasticsearch/snapshots/SnapshotShardsService.java,"snapshot(ShardId, Snapshot, IndexId, IndexShardSnapshotStatus, ActionListener)","snapshot(ShardId, Snapshot, IndexId, IndexShardSnapshotStatus, boolean, ActionListener)"
8c13cf704b551171d188c872d74189d90a9531b3,server/src/main/java/org/elasticsearch/snapshots/SnapshotsService.java,"deleteSnapshotFromRepository(Snapshot, ActionListener, long)","deleteSnapshotFromRepository(Snapshot, ActionListener, long, Version)"
8c13cf704b551171d188c872d74189d90a9531b3,test/framework/src/main/java/org/elasticsearch/index/shard/RestoreOnlyRepository.java,"snapshotShard(Store, MapperService, SnapshotId, IndexId, IndexCommit, IndexShardSnapshotStatus, ActionListener)","snapshotShard(Store, MapperService, SnapshotId, IndexId, IndexCommit, IndexShardSnapshotStatus, boolean, ActionListener)"
8c13cf704b551171d188c872d74189d90a9531b3,test/framework/src/main/java/org/elasticsearch/index/shard/RestoreOnlyRepository.java,"deleteSnapshot(SnapshotId, long, ActionListener)","deleteSnapshot(SnapshotId, long, boolean, ActionListener)"
8c13cf704b551171d188c872d74189d90a9531b3,x-pack/plugin/ccr/src/main/java/org/elasticsearch/xpack/ccr/repository/CcrRepository.java,"deleteSnapshot(SnapshotId, long, ActionListener)","deleteSnapshot(SnapshotId, long, boolean, ActionListener)"
8c13cf704b551171d188c872d74189d90a9531b3,x-pack/plugin/ccr/src/main/java/org/elasticsearch/xpack/ccr/repository/CcrRepository.java,"snapshotShard(Store, MapperService, SnapshotId, IndexId, IndexCommit, IndexShardSnapshotStatus, ActionListener)","snapshotShard(Store, MapperService, SnapshotId, IndexId, IndexCommit, IndexShardSnapshotStatus, boolean, ActionListener)"
8c13cf704b551171d188c872d74189d90a9531b3,x-pack/plugin/core/src/main/java/org/elasticsearch/snapshots/SourceOnlySnapshotRepository.java,"snapshotShard(Store, MapperService, SnapshotId, IndexId, IndexCommit, IndexShardSnapshotStatus, ActionListener)","snapshotShard(Store, MapperService, SnapshotId, IndexId, IndexCommit, IndexShardSnapshotStatus, boolean, ActionListener)"
1ef8dc40309e84fcf14fb3a7d033ddcffba895d7,x-pack/plugin/enrich/src/main/java/org/elasticsearch/xpack/enrich/EnrichStore.java,"putPolicy(String, EnrichPolicy, ClusterService, Consumer)","putPolicy(String, EnrichPolicy, ClusterService, IndexNameExpressionResolver, Consumer)"
99c912b79f2f2ec5a8c4e7b5cf21bfe700041861,client/rest-high-level/src/main/java/org/elasticsearch/client/ml/dataframe/Classification.java,"Classification(String, Double, Double, Double, Integer, Double, String, Double)","Classification(String, Double, Double, Double, Integer, Double, String, Double, Integer)"
303b7e3e441e25f407609d34f5417b1201260299,x-pack/plugin/ml/qa/native-multi-node-tests/src/test/java/org/elasticsearch/xpack/ml/integration/ClassificationIT.java,"testWithOnlyTrainingRowsAndTrainingPercentIsFifty()","testWithOnlyTrainingRowsAndTrainingPercentIsFifty(String, String, List, Function)"
303b7e3e441e25f407609d34f5417b1201260299,x-pack/plugin/ml/qa/native-multi-node-tests/src/test/java/org/elasticsearch/xpack/ml/integration/ClassificationIT.java,"assertTopClasses(Map, int)","assertTopClasses(Map, int, String, List, Function)"
303b7e3e441e25f407609d34f5417b1201260299,x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/dataframe/extractor/DataFrameDataExtractor.java,"getCategoricalFields()","getCategoricalFields(DataFrameAnalysis)"
2f73fd40fbe80675b8c3b3bf0e68861106d5c620,x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/dataframe/process/AbstractNativeAnalyticsProcess.java,"AbstractNativeAnalyticsProcess(String, ConstructingObjectParser, String, NativeController, InputStream, OutputStream, InputStream, OutputStream, int, List, Consumer)","AbstractNativeAnalyticsProcess(String, ConstructingObjectParser, String, NativeController, InputStream, OutputStream, InputStream, OutputStream, int, List, Consumer, NamedXContentRegistry)"
2f73fd40fbe80675b8c3b3bf0e68861106d5c620,x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/dataframe/process/AnalyticsProcessManager.java,"AnalyticsProcessManager(Client, ThreadPool, AnalyticsProcessFactory, DataFrameAnalyticsAuditor)","AnalyticsProcessManager(Client, ThreadPool, AnalyticsProcessFactory, DataFrameAnalyticsAuditor, TrainedModelProvider)"
2f73fd40fbe80675b8c3b3bf0e68861106d5c620,x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/dataframe/process/NativeAnalyticsProcess.java,"NativeAnalyticsProcess(String, NativeController, InputStream, OutputStream, InputStream, OutputStream, int, List, Consumer, AnalyticsProcessConfig)","NativeAnalyticsProcess(String, NativeController, InputStream, OutputStream, InputStream, OutputStream, int, List, Consumer, AnalyticsProcessConfig, NamedXContentRegistry)"
2f73fd40fbe80675b8c3b3bf0e68861106d5c620,x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/dataframe/process/NativeAnalyticsProcessFactory.java,"NativeAnalyticsProcessFactory(Environment, Client, NativeController, ClusterService)","NativeAnalyticsProcessFactory(Environment, Client, NativeController, ClusterService, NamedXContentRegistry)"
2f73fd40fbe80675b8c3b3bf0e68861106d5c620,x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/dataframe/process/results/AnalyticsResult.java,"AnalyticsResult(RowResults, Integer)","AnalyticsResult(RowResults, Integer, TrainedModelDefinition)"
2f73fd40fbe80675b8c3b3bf0e68861106d5c620,x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/process/ProcessResultsParser.java,"ProcessResultsParser(ConstructingObjectParser)","ProcessResultsParser(ConstructingObjectParser, NamedXContentRegistry)"
d308095b28d7398f7cbf0779780547363ce95380,client/rest-high-level/src/main/java/org/elasticsearch/client/ml/datafeed/DatafeedConfig.java,"DatafeedConfig(String, String, TimeValue, TimeValue, List, BytesReference, BytesReference, List, Integer, ChunkingConfig, DelayedDataCheckConfig)","DatafeedConfig(String, String, TimeValue, TimeValue, List, BytesReference, BytesReference, List, Integer, ChunkingConfig, DelayedDataCheckConfig, Integer)"
d308095b28d7398f7cbf0779780547363ce95380,client/rest-high-level/src/main/java/org/elasticsearch/client/ml/datafeed/DatafeedUpdate.java,"DatafeedUpdate(String, TimeValue, TimeValue, List, BytesReference, BytesReference, List, Integer, ChunkingConfig, DelayedDataCheckConfig)","DatafeedUpdate(String, TimeValue, TimeValue, List, BytesReference, BytesReference, List, Integer, ChunkingConfig, DelayedDataCheckConfig, Integer)"
d308095b28d7398f7cbf0779780547363ce95380,x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/ml/datafeed/DatafeedConfig.java,"DatafeedConfig(String, String, TimeValue, TimeValue, List, QueryProvider, AggProvider, List, Integer, ChunkingConfig, Map, DelayedDataCheckConfig)","DatafeedConfig(String, String, TimeValue, TimeValue, List, QueryProvider, AggProvider, List, Integer, ChunkingConfig, Map, DelayedDataCheckConfig, Integer)"
d308095b28d7398f7cbf0779780547363ce95380,x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/ml/datafeed/DatafeedUpdate.java,"DatafeedUpdate(String, String, TimeValue, TimeValue, List, QueryProvider, AggProvider, List, Integer, ChunkingConfig, DelayedDataCheckConfig)","DatafeedUpdate(String, String, TimeValue, TimeValue, List, QueryProvider, AggProvider, List, Integer, ChunkingConfig, DelayedDataCheckConfig, Integer)"
d308095b28d7398f7cbf0779780547363ce95380,x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/datafeed/DatafeedJob.java,"DatafeedJob(String, DataDescription, long, long, DataExtractorFactory, DatafeedTimingStatsReporter, Client, AnomalyDetectionAuditor, Supplier, DelayedDataDetector, long, long)","DatafeedJob(String, DataDescription, long, long, DataExtractorFactory, DatafeedTimingStatsReporter, Client, AnomalyDetectionAuditor, Supplier, DelayedDataDetector, Integer, long, long, boolean)"
d308095b28d7398f7cbf0779780547363ce95380,x-pack/plugin/ml/src/test/java/org/elasticsearch/xpack/ml/datafeed/DatafeedJobTests.java,"createDatafeedJob(long, long, long, long)","createDatafeedJob(long, long, long, long, boolean)"
fd83c18cc1c10f91a19acbeaa15b5dd862a29ca8,client/rest-high-level/src/main/java/org/elasticsearch/client/ml/dataframe/DataFrameAnalyticsConfig.java,"DataFrameAnalyticsConfig(String, String, DataFrameAnalyticsSource, DataFrameAnalyticsDest, DataFrameAnalysis, FetchSourceContext, ByteSizeValue, Instant, Version)","DataFrameAnalyticsConfig(String, String, DataFrameAnalyticsSource, DataFrameAnalyticsDest, DataFrameAnalysis, FetchSourceContext, ByteSizeValue, Instant, Version, Boolean)"
fd83c18cc1c10f91a19acbeaa15b5dd862a29ca8,client/rest-high-level/src/main/java/org/elasticsearch/client/ml/job/config/Job.java,"Job(String, String, List, String, Date, Date, AnalysisConfig, AnalysisLimits, DataDescription, ModelPlotConfig, Long, TimeValue, Long, Long, Map, String, String, Boolean)","Job(String, String, List, String, Date, Date, AnalysisConfig, AnalysisLimits, DataDescription, ModelPlotConfig, Long, TimeValue, Long, Long, Map, String, String, Boolean, Boolean)"
fd83c18cc1c10f91a19acbeaa15b5dd862a29ca8,client/rest-high-level/src/main/java/org/elasticsearch/client/ml/job/config/JobUpdate.java,"JobUpdate(String, List, String, List, ModelPlotConfig, AnalysisLimits, TimeValue, Long, Long, Long, List, Map)","JobUpdate(String, List, String, List, ModelPlotConfig, AnalysisLimits, TimeValue, Long, Long, Long, List, Map, Boolean)"
fd83c18cc1c10f91a19acbeaa15b5dd862a29ca8,x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/ml/dataframe/DataFrameAnalyticsConfig.java,"DataFrameAnalyticsConfig(String, String, DataFrameAnalyticsSource, DataFrameAnalyticsDest, DataFrameAnalysis, Map, ByteSizeValue, FetchSourceContext, Instant, Version)","DataFrameAnalyticsConfig(String, String, DataFrameAnalyticsSource, DataFrameAnalyticsDest, DataFrameAnalysis, Map, ByteSizeValue, FetchSourceContext, Instant, Version, boolean)"
fd83c18cc1c10f91a19acbeaa15b5dd862a29ca8,x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/ml/job/config/Job.java,"Job(String, String, Version, List, String, Date, Date, AnalysisConfig, AnalysisLimits, DataDescription, ModelPlotConfig, Long, TimeValue, Long, Long, Map, String, Version, String, boolean)","Job(String, String, Version, List, String, Date, Date, AnalysisConfig, AnalysisLimits, DataDescription, ModelPlotConfig, Long, TimeValue, Long, Long, Map, String, Version, String, boolean, boolean)"
fd83c18cc1c10f91a19acbeaa15b5dd862a29ca8,x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/ml/job/config/JobUpdate.java,"JobUpdate(String, List, String, List, ModelPlotConfig, AnalysisLimits, TimeValue, Long, Long, Long, List, Map, String, Version, Version, Boolean)","JobUpdate(String, List, String, List, ModelPlotConfig, AnalysisLimits, TimeValue, Long, Long, Long, List, Map, String, Version, Version, Boolean, Boolean)"
fd83c18cc1c10f91a19acbeaa15b5dd862a29ca8,x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/MlAssignmentNotifier.java,"MlAssignmentNotifier(AnomalyDetectionAuditor, ThreadPool, MlConfigMigrator, ClusterService)","MlAssignmentNotifier(AnomalyDetectionAuditor, DataFrameAnalyticsAuditor, ThreadPool, MlConfigMigrator, ClusterService)"
fd83c18cc1c10f91a19acbeaa15b5dd862a29ca8,x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/MlDailyMaintenanceService.java,"MlDailyMaintenanceService(ClusterName, ThreadPool, Client)","MlDailyMaintenanceService(ClusterName, ThreadPool, Client, ClusterService, MlAssignmentNotifier)"
fd83c18cc1c10f91a19acbeaa15b5dd862a29ca8,x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/MlDailyMaintenanceService.java,"MlDailyMaintenanceService(ThreadPool, Client, Supplier)","MlDailyMaintenanceService(ThreadPool, Client, ClusterService, MlAssignmentNotifier, Supplier)"
fd83c18cc1c10f91a19acbeaa15b5dd862a29ca8,x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/MlInitializationService.java,"MlInitializationService(Settings, ThreadPool, ClusterService, Client)","MlInitializationService(Settings, ThreadPool, ClusterService, Client, MlAssignmentNotifier)"
fd83c18cc1c10f91a19acbeaa15b5dd862a29ca8,x-pack/plugin/ml/src/test/java/org/elasticsearch/xpack/ml/job/JobNodeSelectorTests.java,"addDataFrameAnalyticsJobTask(String, String, DataFrameAnalyticsState, PersistentTasksCustomMetaData.Builder, boolean)","addDataFrameAnalyticsJobTask(String, String, DataFrameAnalyticsState, PersistentTasksCustomMetaData.Builder, boolean, boolean)"
fd83c18cc1c10f91a19acbeaa15b5dd862a29ca8,x-pack/plugin/ml/src/test/java/org/elasticsearch/xpack/ml/process/MlMemoryTrackerTests.java,"makeTestDataFrameAnalyticsTask(String)","makeTestDataFrameAnalyticsTask(String, boolean)"
869cd6cb79f94fbd3ea4574edbacf92ed60e5954,x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/security/SecurityFeatureSetUsage.java,"SecurityFeatureSetUsage(boolean, boolean, Map, Map, Map, Map, Map, Map, Map, Map, Map)","SecurityFeatureSetUsage(boolean, boolean, Map, Map, Map, Map, Map, Map, Map, Map, Map, Map)"
e628f35f69bfa833bbdba8e6f1a6cb51a7f8337d,server/src/main/java/org/elasticsearch/gateway/ReplicaShardAllocator.java,"findMatchingNodes(ShardRouting, RoutingAllocation, TransportNodesListShardStoreMetaData.StoreFilesMetaData, AsyncShardFetch.FetchResult, boolean)","findMatchingNodes(ShardRouting, RoutingAllocation, DiscoveryNode, TransportNodesListShardStoreMetaData.StoreFilesMetaData, AsyncShardFetch.FetchResult, boolean)"
0cb8cc7eb2233dfe113ae1e4a7789b909c98a540,buildSrc/src/test/java/org/elasticsearch/gradle/DistributionDownloadPluginTests.java,"createProject(BwcVersions)","createProject(BwcVersions, boolean)"
a75fc336dbe1d7a2c5d792eb19ef7bea42b71ad1,x-pack/plugin/ilm/src/test/java/org/elasticsearch/xpack/slm/SLMSnapshotBlockingIntegTests.java,"createSnapshotPolicy(String, String, String, String, String, boolean, SnapshotRetentionConfiguration)","createSnapshotPolicy(String, String, String, String, String, boolean, boolean, SnapshotRetentionConfiguration)"
27834322744e105d6c85dadaa3d2f6a7f3e5200a,server/src/main/java/org/elasticsearch/action/search/AbstractSearchAsyncAction.java,"buildSearchResponse(InternalSearchResponse, String)","buildSearchResponse(InternalSearchResponse, String, ShardSearchFailure[])"
